quarter,state,store_count,traffic_index,express_share,metro_share,regional_volume_index,state_margin_cpg,store_count_estimated,volume_weight_estimated
2024Q3,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2024Q3,MO,74,0.96,0.33,0.47,0.99,29.8,true,true
2024Q3,MS,71,0.89,0.23,0.27,0.96,28.0,true,true
2024Q3,NC,90,1.03,0.41,0.57,1.03,30.9,true,true
2024Q3,NE,13,0.92,0.43,0.46,0.96,30.1,true,true
2024Q3,NM,28,0.92,0.31,0.55,0.98,31.2,true,true
2024Q3,OH,55,1.0,0.39,0.58,1.01,32.0,true,true
2024Q3,OK,60,0.94,0.29,0.44,0.98,28.9,true,true
2024Q3,SC,65,1.02,0.4,0.51,1.03,30.1,true,true
2024Q3,TN,97,1.02,0.39,0.53,1.02,29.7,true,true
2024Q3,TX,353,1.08,0.42,0.7,1.07,30.6,true,true
2024Q3,VA,64,1.04,0.43,0.63,1.03,31.5,true,true
2024Q3,WI,17,0.93,0.39,0.45,0.96,31.9,true,true
2024Q3,WV,16,0.91,0.35,0.28,0.97,30.0,true,true
2024Q3,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2024Q4,AL,82,0.94,0.31,0.36,0.98,28.5,true,true
2024Q4,AR,70,0.9,0.25,0.27,0.97,29.0,true,true
2024Q4,CO,12,1.06,0.71,0.72,1.05,33.2,true,true
2024Q4,FL,140,1.12,0.48,0.76,1.08,31.8,true,true
2024Q4,GA,114,1.04,0.43,0.61,1.04,30.5,true,true
2024Q4,IA,22,0.91,0.3,0.31,0.95,30.8,true,true
2024Q4,IL,45,1.01,0.37,0.69,0.98,34.0,true,true
2024Q4,IN,45,0.98,0.34,0.49,0.99,31.4,true,true
2024Q4,KS,26,0.93,0.37,0.4,0.98,29.5,true,true
2024Q4,KY,53,0.97,0.33,0.42,1.0,30.2,true,true
2024Q4,LA,47,0.96,0.28,0.49,0.99,28.8,true,true
2024Q4,MI,7,0.99,0.78,0.71,1.02,33.5,true,true
2024Q4,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2024Q4,MO,74,0.96,0.33,0.47,0.99,29.8,true,true
2024Q4,MS,71,0.89,0.23,0.27,0.96,28.0,true,true
2024Q4,NC,91,1.03,0.41,0.57,1.03,30.9,true,true
2024Q4,NE,13,0.92,0.43,0.46,0.96,30.1,true,true
2024Q4,NM,28,0.92,0.31,0.55,0.98,31.2,true,true
2024Q4,OH,55,1.0,0.39,0.58,1.01,32.0,true,true
2024Q4,OK,61,0.94,0.29,0.44,0.98,28.9,true,true
2024Q4,SC,66,1.02,0.4,0.51,1.03,30.1,true,true
2024Q4,TN,98,1.02,0.39,0.53,1.02,29.7,true,true
2024Q4,TX,356,1.08,0.42,0.7,1.07,30.6,true,true
2024Q4,VA,65,1.04,0.43,0.63,1.03,31.5,true,true
2024Q4,WI,17,0.93,0.39,0.45,0.96,31.9,true,true
2024Q4,WV,16,0.91,0.35,0.28,0.97,30.0,true,true
2024Q4,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2025Q1,AL,83,0.94,0.31,0.36,0.98,28.5,true,true
2025Q1,AR,70,0.9,0.25,0.27,0.97,29.0,true,true
2025Q1,CO,13,1.06,0.71,0.72,1.05,33.2,true,true
2025Q1,FL,142,1.12,0.48,0.76,1.08,31.8,true,true
2025Q1,GA,115,1.04,0.43,0.61,1.04,30.5,true,true
2025Q1,IA,22,0.91,0.3,0.31,0.95,30.8,true,true
2025Q1,IL,45,1.01,0.37,0.69,0.98,34.0,true,true
2025Q1,IN,45,0.98,0.34,0.49,0.99,31.4,true,true
2025Q1,KS,26,0.93,0.37,0.4,0.98,29.5,true,true
2025Q1,KY,53,0.97,0.33,0.42,1.0,30.2,true,true
2025Q1,LA,48,0.96,0.28,0.49,0.99,28.8,true,true
2025Q1,MI,8,0.99,0.78,0.71,1.02,33.5,true,true
2025Q1,MN,19,0.94,0.35,0.52,0.96,32.1,true,true
2025Q1,MO,75,0.96,0.33,0.47,0.99,29.8,true,true
2025Q1,MS,72,0.89,0.23,0.27,0.96,28.0,true,true
2025Q1,NC,92,1.03,0.41,0.57,1.03,30.9,true,true
2025Q1,NE,13,0.92,0.43,0.46,0.96,30.1,true,true
2025Q1,NM,28,0.92,0.31,0.55,0.98,31.2,true,true
2025Q1,OH,56,1.0,0.39,0.58,1.01,32.0,true,true
2025Q1,OK,61,0.94,0.29,0.44,0.98,28.9,true,true
2025Q1,SC,67,1.02,0.4,0.51,1.03,30.1,true,true
2025Q1,TN,99,1.02,0.39,0.53,1.02,29.7,true,true
2025Q1,TX,359,1.08,0.42,0.7,1.07,30.6,true,true
2025Q1,VA,66,1.04,0.43,0.63,1.03,31.5,true,true
2025Q1,WI,17,0.93,0.39,0.45,0.96,31.9,true,true
2025Q1,WV,16,0.91,0.35,0.28,0.97,30.0,true,true
2025Q1,WY,8,0.88,0.56,0.25,0.94,31.0,true,true
2025Q2,AL,84,0.94,0.31,0.36,0.98,28.5,true,true
2025Q2,AR,71,0.9,0.25,0.27,0.97,29.0,true,true
2025Q2,CO,13,1.06,0.71,0.72,1.05,33.2,true,true
2025Q2,FL,143,1.12,0.48,0.76,1.08,31.8,true,true
2025Q2,GA,116,1.04,0.43,0.61,1.04,30.5,true,true
2025Q2,IA,22,0.91,0.3,0.31,0.95,30.8,true,true
2025Q2,IL,45,1.01,0.37,0.69,0.98,34.0,true,true
2025Q2,IN,45,0.98,0.34,0.49,0.99,31.4,true,true
2025Q2,KS,26,0.93,0.37,0.4,0.98,29.5,true,true
2025Q2,KY,54,0.97,0.33,0.42,1.0,30.2,true,true
2025Q2,LA,48,0.96,0.28,0.49,0.99,28.8,true,true
2025Q2,MI,8,0.99,0.78,0.71,1.02,33.5,true,true
2025Q2,MN,20,0.94,0.35,0.52,0.96,32.1,true,true
2025Q2,MO,76,0.96,0.33,0.47,0.99,29.8,true,true
2025Q2,MS,72,0.89,0.23,0.27,0.96,28.0,true,true
2025Q2,NC,93,1.03,0.41,0.57,1.03,30.9,true,true
2025Q2,NE,13,0.92,0.43,0.46,0.96,30.1,true,true
2025Q2,NM,28,0.92,0.31,0.55,0.98,31.2,true,true
2025Q2,OH,56,1.0,0.39,0.58,1.01,32.0,true,true
2025Q2,OK,62,0.94,0.29,0.44,0.98,28.9,true,true
2025Q2,SC,68,1.02,0.4,0.51,1.03,30.1,true,true
2025Q2,TN,100,1.02,0.39,0.53,1.02,29.7,true,true
2025Q2,TX,362,1.08,0.42,0.7,1.07,30.6,true,true
2025Q2,VA,67,1.04,0.43,0.63,1.03,31.5,true,true
2025Q2,WI,17,0.93,0.39,0.45,0.96,31.9,true,true
2025Q2,WV,16,0.91,0.35,0.28,0.97,30.0,true,true
2025Q2,WY,9,0.88,0.56,0.25,0.94,31.0,true,true
2025Q3,AL,84,0.94,0.31,0.36,0.98,28.5,true,true
2025Q3,AR,71,0.9,0.25,0.27,0.97,29.0,true,true
2025Q3,CO,14,1.06,0.71,0.72,1.05,33.2,true,true
2025Q3,FL,145,1.12,0.48,0.76,1.08,31.8,true,true
2025Q3,GA,118,1.04,0.43,0.61,1.04,30.5,true,true
2025Q3,IA,23,0.91,0.3,0.31,0.95,30.8,true,true
2025Q3,IL,46,1.01,0.37,0.69,0.98,34.0,true,true
2025Q3,IN,46,0.98,0.34,0.49,0.99,31.4,true,true
2025Q3,KS,27,0.93,0.37,0.4,0.98,29.5,true,true
2025Q3,KY,54,0.97,0.33,0.42,1.0,30.2,true,true
2025Q3,LA,49,0.96,0.28,0.49,0.99,28.8,true,true
2025Q3,MI,9,0.99,0.78,0.71,1.02,33.5,true,true
2025Q3,MN,20,0.94,0.35,0.52,0.96,32.1,true,true
2025Q3,MO,76,0.96,0.33,0.47,0.99,29.8,true,true
2025Q3,MS,73,0.89,0.23,0.27,0.96,28.0,true,true
2025Q3,NC,94,1.03,0.41,0.57,1.03,30.9,true,true
2025Q3,NE,14,0.92,0.43,0.46,0.96,30.1,true,true
2025Q3,NM,29,0.92,0.31,0.55,0.98,31.2,true,true
2025Q3,OH,57,1.0,0.39,0.58,1.01,32.0,true,true
2025Q3,OK,62,0.94,0.29,0.44,0.98,28.9,true,true
2025Q3,SC,68,1.02,0.4,0.51,1.03,30.1,true,true
2025Q3,TN,101,1.02,0.39,0.53,1.02,29.7,true,true
2025Q3,TX,365,1.08,0.42,0.7,1.07,30.6,true,true
2025Q3,VA,67,1.04,0.43,0.63,1.03,31.5,true,true
2025Q3,WI,18,0.93,0.39,0.45,0.96,31.9,true,true
2025Q3,WV,17,0.91,0.35,0.28,0.97,30.0,true,true
2025Q3,WY,9,0.88,0.56,0.25,0.94,31.0,true,true
2025Q4,AL,85,0.94,0.31,0.36,0.98,28.5,true,true
2025Q4,AR,72,0.9,0.25,0.27,0.97,29.0,true,true
2025Q4,CO,14,1.06,0.71,0.72,1.05,33.2,true,true
2025Q4,FL,146,1.12,0.48,0.76,1.08,31.8,true,true
2025Q4,GA,119,1.04,0.43,0.61,1.04,30.5,true,true
2025Q4,IA,23,0.91,0.3,0.31,0.95,30.8,true,true
2025Q4,IL,46,1.01,0.37,0.69,0.98,34.0,true,true
2025Q4,IN,46,0.98,0.34,0.49,0.99,31.4,true,true
2025Q4,KS,27,0.93,0.37,0.4,0.98,29.5,true,true
2025Q4,KY,55,0.97,0.33,0.42,1.0,30.2,true,true
2025Q4,LA,49,0.96,0.28,0.49,0.99,28.8,true,true
2025Q4,MI,9,0.99,0.78,0.71,1.02,33.5,true,true
2025Q4,MN,20,0.94,0.35,0.52,0.96,32.1,true,true
2025Q4,MO,77,0.96,0.33,0.47,0.99,29.8,true,true
2025Q4,MS,73,0.89,0.23,0.27,0.96,28.0,true,true
2025Q4,NC,95,1.03,0.41,0.57,1.03,30.9,true,true
2025Q4,NE,14,0.92,0.43,0.46,0.96,30.1,true,true
2025Q4,NM,29,0.92,0.31,0.55,0.98,31.2,true,true
2025Q4,OH,57,1.0,0.39,0.58,1.01,32.0,true,true
2025Q4,OK,63,0.94,0.29,0.44,0.98,28.9,true,true
2025Q4,SC,69,1.02,0.4,0.51,1.03,30.1,true,true
2025Q4,TN,102,1.02,0.39,0.53,1.02,29.7,true,true
2025Q4,TX,368,1.08,0.42,0.7,1.07,30.6,true,true
2025Q4,VA,68,1.04,0.43,0.63,1.03,31.5,true,true
2025Q4,WI,18,0.93,0.39,0.45,0.96,31.9,true,true
2025Q4,WV,17,0.91,0.35,0.28,0.97,30.0,true,true
2025Q4,WY,9,0.88,0.56,0.25,0.94,31.0,true,true
